Gene name,RPKM  Jeko 
AA06,0
AADACL2,0
AADACL4,0
ABCC6P1,0
ABCC6P2,0
ABCG5,0
ABHD1,0
ACMSD,0
ACSM2A,0
ACSM2B,0
ACTR3BP2,0
ACTRT2,0
ADAD1,0
ADAM2,0
ADAM30,0
ADAM3A,0
ADAM6,0
ADAM7,0
ADH1A,0
ADH7,0
ADIG,0
ADRA1A,0
ADRB3,0
AGBL1,0
AGTR2,0
AGXT2,0
AKAP4,0
AKR1B10,0
ALDH1L1-AS2,0
ALPI,0
AMELX,0
AMELY,0
AMTN,0
ANGPT2,0
ANKRD20A3,0
ANKS1B,0
ANP32D,0
ANXA2P3,0
ANXA8,0
APCS,0
APOBEC1,0
AQP7P3,0
ARHGAP19-SLIT1,0
ARHGAP36,0
ARHGEF26-AS1,0
ARSF,0
ASB14,0
ASB17,0
ASB18,0
ATP1A1OS,0
ATP5J2-PTCD1,0
ATP6V1C2,0
ATP6V1G2,0
ATP6V1G2-DDX39B,0
ATP8B5P,0
ATXN3L,0
ATXN8OS,0
AWAT1,0
AWAT2,0
B3GAT2,0
BAGE3,0
BANF2,0
BBIP1,0
BEST1,0
BGLAP,0
BIRC8,0
BMP15,0
BMP6,0
BOLA2,0
BPIFA2,0
BPIFA3,0
BPIFA4P,0
BPIFB3,0
BPIFB6,0
BPY2,0
BPY2B,0
BSPH1,0
BSX,0
BTF3P11,0
C10orf107,0
C10orf111,0
C10orf113,0
C10orf120,0
C10orf122,0
C10orf136,0
C10orf27,0
C10orf40,0
C10orf53,0
C10orf96,0
C11orf16,0
C11orf40,0
C11orf86,0
C12orf12,0
C12orf37,0
C14orf165,0
C14orf166B,0
C14orf177,0
C14orf178,0
C14orf38,0
C14orf39,0
C15orf32,0
C15orf34,0
C15orf43,0
C15orf60,0
C16orf73,0
C16orf93,0
C17orf102,0
C17orf105,0
C17orf74,0
C18orf32,0
C18orf56,0
C18orf62,0
C19orf29-AS1,0
C1orf100,0
C1orf110,0
C1orf49,0
C1orf65,0
C20orf132,0
C20orf141,0
C20orf166,0
C20orf26,0
C20orf78,0
C20orf79,0
C20orf85,0
C21orf37,0
C21orf54,0
C21orf91-OT1,0
C22orf15,0
C2orf27B,0
C2orf63,0
C3orf22,0
C3orf24,0
C3orf45,0
C3orf79,0
C3P1,0
C4B,0
C4orf17,0
C4orf19,0
C4orf40,0
C4orf51,0
C5orf38,0
C5orf46,0
C5orf48,0
C5orf52,0
C5orf58,0
C6orf118,0
C6orf15,0
C6orf7,0
C7orf62,0
C7orf66,0
C8A,0
C8B,0
C8orf45,0
C8orf69,0
C8orf74,0
C8orf86,0
C8orf87,0
C9orf146,0
C9orf43,0
C9orf47,0
C9orf53,0
C9orf66,0
C9orf71,0
C9orf96,0
CABP2,0
CALML5,0
CAPZA3,0
CARD18,0
CARTPT,0
CASC1,0
CASKIN1,0
CCDC105,0
CCDC121,0
CCDC157,0
CCDC60,0
CCDC67,0
CCDC70,0
CCDC73,0
CCDC84,0
CCL11,0
CCL14-CCL15,0
CCL16,0
CDRT15L2,0
CDRT4,0
CDRT7,0
CDX4,0
CDY1,0
CDY1B,0
CEACAM16,0
CEACAM18,0
CECR5-AS1,0
CELA3A,0
CELA3B,0
CENPVL1,0
CER1,0
CES5AP1,0
CETN1,0
CFC1B,0
CFHR2,0
CFHR4,0
CFHR5,0
CFLAR-AS1,0
CGB,0
CGB5,0
CGB7,0
CGB8,0
CHADL,0
CHEK2P2,0
CHODL-AS1,0
CHRNB3,0
CHST9-AS1,0
CIB4,0
CLDN17,0
CLDN22,0
CLDN24,0
CLDN7,0
CLDN8,0
CLPS,0
CLPSL1,0
CLRN1-AS1,0
CLRN2,0
CLUL1,0
CLVS2,0
CNGA2,0
CNGA3,0
CNPY4,0
CNTF,0
CORO7-PAM16,0
COX6A2,0
COX7B2,0
CPB1,0
CPSF4L,0
CRB3,0
CRCT1,0
CRHR1,0
CRISP1,0
CRNN,0
CRP,0
CRYGA,0
CRYGB,0
CRYGC,0
CSAG2,0
CSH1,0
CSHL1,0
CSN1S1,0
CSN1S2AP,0
CSN1S2BP,0
CSPG4P1Y,0
CST11,0
CST8,0
CST9L,0
CSTL1,0
CSTT,0
CT45A1,0
CT45A2,0
CT45A3,0
CT45A4,0
CT45A5,0
CT45A6,0
CT47A1,0
CT47A10,0
CT47A11,0
CT47A12,0
CT47A2,0
CT47A4,0
CT47A5,0
CT47A6,0
CT47A7,0
CT62,0
CTAG1B,0
CTAGE10P,0
CTAGE11P,0
CTSL1P2,0
CTSL1P8,0
CTSL3,0
CWH43,0
CXADRP3,0
CXorf27,0
CXorf28,0
CXorf51A,0
CXorf61,0
CXorf64,0
CXorf66,0
CXXC1P1,0
CYLC1,0
CYLC2,0
CYP2A13,0
CYP2C19,0
CYP2C9,0
CYP3A7-CYP3AP1,0
CYP4A11,0
CYP4A22,0
CYP4F24P,0
CYP4Z2P,0
D21S2088E,0
DAOA,0
DAOA-AS1,0
DAZ1,0
DAZ2,0
DAZ3,0
DAZ4,0
DBX1,0
DCAF12L1,0
DCAF12L2,0
DCD,0
DDX11L1,0
DDX11L9,0
DEFA10P,0
DEFB103A,0
DEFB103B,0
DEFB104A,0
DEFB104B,0
DEFB105A,0
DEFB105B,0
DEFB106A,0
DEFB106B,0
DEFB107A,0
DEFB107B,0
DEFB108B,0
DEFB109P1,0
DEFB109P1B,0
DEFB110,0
DEFB112,0
DEFB113,0
DEFB114,0
DEFB115,0
DEFB116,0
DEFB118,0
DEFB119,0
DEFB121,0
DEFB122,0
DEFB123,0
DEFB124,0
DEFB125,0
DEFB126,0
DEFB127,0
DEFB128,0
DEFB129,0
DEFB131,0
DEFB133,0
DEFB134,0
DEFB135,0
DEFB136,0
DEFB4B,0
DHRS7C,0
DIRC1,0
DISC2,0
DKFZp451B082,0
DLEC1,0
DLX6-AS1,0
DMRTB1,0
DMRTC1,0
DNAH11,0
DNAJA1P5,0
DNAJB3,0
DNAJB7,0
DNAJB8-AS1,0
DNAJC25-GNG10,0
DNASE1L1,0
DNMBP-AS1,0
DPPA3,0
DPPA5,0
DPY19L2P4,0
DRGX,0
DSCAM-AS1,0
DSCR10,0
DSCR4,0
DUX2,0
DUX4,0
DUX4L2,0
DUX4L3,0
DUX4L4,0
DUX4L5,0
DUXA,0
DYDC1,0
DYX1C1-CCPG1,0
DZANK1-AS1,0
EDDM3B,0
EFCAB10,0
EFCAB5,0
EGFLAM-AS4,0
ELL3,0
ELSPBP1,0
EMX2,0
ENO1-AS1,0
EPHA1,0
ERN2,0
ESRP2,0
ESX1,0
EVX2,0
F11,0
F9,0
FABP12,0
FABP9,0
FAM101A,0
FAM138B,0
FAM138C,0
FAM138F,0
FAM159B,0
FAM163A,0
FAM166A,0
FAM194B,0
FAM19A4,0
FAM211A,0
FAM217A,0
FAM24A,0
FAM25A,0
FAM25C,0
FAM26D,0
FAM27L,0
FAM41AY2,0
FAM48B1,0
FAM48B2,0
FAM71C,0
FAM71E1,0
